"","host_species","betacov","pred_med"
"1","Acerodon celebensis",0,0.385029878579225
"2","Acerodon humilis",0,0.198572571715752
"3","Acerodon jubatus",0,0.716776135651374
"4","Acerodon leucotis",0,0.164295016856006
"5","Acerodon mackloti",0,0.30797353742244
"6","Aethalops aequalis",0,0.101006524527015
"7","Aethalops alecto",0,0.13887564854009
"8","Alionycteris paucidentata",0,0.0782688128459565
"9","Ametrida centurio",0,0.0475417277662585
"10","Amorphochilus schnablii",0,0.0108130055908667
"11","Anoura caudifer",0,0.156328786679077
"12","Anoura cultrata",0,0.0322439973439406
"13","Anoura geoffroyi",0,0.562011772408519
"14","Anoura latidens",0,0.0365244595556608
"15","Anoura luismanueli",0,0.0117696196773929
"16","Anthops ornatus",0,0.0158530298237013
"17","Antrozous pallidus",0,0.405800583852119
"18","Aproteles bulmerae",0,0.120032858469269
"19","Ardops nichollsi",0,0.0936216391274438
"20","Arielulus aureocollaris",0,0.14349985946541
"21","Arielulus circumdatus",0,0.517457555291255
"22","Arielulus cuprosus",0,0.0278580622387056
"23","Arielulus societatis",0,0.0370234040931984
"24","Arielulus torquatus",0,0.341227705634018
"25","Ariteus flavescens",0,0.0296536516191022
"26","Artibeus amplus",0,0.10860472060599
"27","Artibeus anderseni",0,0.0318373591740359
"28","Artibeus aztecus",0,0.129434213218598
"29","Artibeus cinereus",0,0.0285868579189143
"30","Artibeus concolor",0,0.150039822440425
"31","Artibeus fimbriatus",0,0.141596394071432
"32","Artibeus fraterculus",0,0.0365375239579485
"33","Artibeus glaucus",0,0.239116269960251
"34","Artibeus gnomus",0,0.171066262195566
"35","Artibeus hirsutus",0,0.189336402875741
"36","Artibeus incomitatus",0,0.0159977479585836
"37","Artibeus inopinatus",0,0.0512879477038746
"38","Artibeus jamaicensis",0,0.879832965866383
"39","Artibeus lituratus",1,0.77741920818034
"40","Artibeus obscurus",1,0.0896122168501868
"41","Artibeus phaeotis",0,0.080719460511356
"42","Artibeus toltecus",0,0.114963794014206
"43","Artibeus watsoni",0,0.0375855311333248
"44","Asellia patrizii",0,0.0728752128710498
"45","Asellia tridens",0,0.90644373743858
"46","Aselliscus stoliczkanus",1,0.620733108445031
"47","Aselliscus tricuspidatus",0,0.0248293453809751
"48","Balantiopteryx infusca",0,0.0132757906140821
"49","Balantiopteryx io",0,0.0200112925966468
"50","Balantiopteryx plicata",0,0.1070583157484
"51","Balionycteris maculata",0,0.235099917810924
"52","Barbastella barbastellus",0,0.87402482332893
"53","Barbastella leucomelas",0,0.903649647516052
"54","Bauerus dubiaquercus",0,0.0623803189360464
"55","Brachyphylla cavernarum",0,0.149116721266047
"56","Brachyphylla nana",0,0.116078766096409
"57","Cardioderma cor",0,0.780659228565146
"58","Carollia brevicauda",0,0.533752373376082
"59","Carollia castanea",0,0.0762617471848532
"60","Carollia colombiana",0,0.0146304902176629
"61","Carollia perspicillata",1,0.502323618742873
"62","Carollia sowelli",0,0.419705262035258
"63","Carollia subrufa",0,0.0459768825840906
"64","Casinycteris argynnis",0,0.174861761043324
"65","Centronycteris centralis",0,0.0329956867439541
"66","Centronycteris maximiliani",0,0.107603412566
"67","Centurio senex",0,0.32130175073893
"68","Chaerephon aloysiisabaudiae",0,0.100793997591242
"69","Chaerephon ansorgei",0,0.357842175901245
"70","Chaerephon bemmeleni",0,0.300841599559298
"71","Chaerephon bivittatus",0,0.694032455141274
"72","Chaerephon bregullae",0,0.0171113617071967
"73","Chaerephon chapini",0,0.0613437129246063
"74","Chaerephon gallagheri",0,0.0132740844387357
"75","Chaerephon jobensis",0,0.381797924315764
"76","Chaerephon johorensis",0,0.0684317617470807
"77","Chaerephon leucogaster",0,0.51392559071158
"78","Chaerephon major",0,0.480470815460848
"79","Chaerephon nigeriae",0,0.586485772707507
"80","Chaerephon plicatus",1,0.872127023337453
"81","Chaerephon pumilus",0,0.748680754299909
"82","Chaerephon russatus",0,0.166056104816242
"83","Chaerephon shortridgei",0,0.0361100395089223
"84","Chaerephon solomonis",0,0.0089505401619834
"85","Chaerephon tomensis",0,0.0185450996103968
"86","Chalinolobus dwyeri",0,0.0663058277331183
"87","Chalinolobus gouldii",0,0.332969349011854
"88","Chalinolobus morio",0,0.140254114304807
"89","Chalinolobus neocaledonicus",0,0.0149601442697953
"90","Chalinolobus nigrogriseus",0,0.0901277124540763
"91","Chalinolobus picatus",0,0.0622333625443499
"92","Chalinolobus tuberculatus",0,0.0512596026948796
"93","Cheiromeles parvidens",0,0.102550300939027
"94","Cheiromeles torquatus",0,0.639789165740574
"95","Chilonatalus micropus",0,0.0206205760044887
"96","Chilonatalus tumidifrons",0,0.0211527323244251
"97","Chiroderma doriae",0,0.150998039290125
"98","Chiroderma improvisum",0,0.0800555251090162
"99","Chiroderma salvini",0,0.496298660412242
"100","Chiroderma trinitatum",0,0.0786931896505355
